id,title,description,year
47,Back to the Future,A teenager travels to the past and risks his timeline.,1985
48,The Empire Strikes Back,The rebellion suffers losses while a Jedi trains.,1980
49,Raiders of the Lost Ark,An archaeologist races enemies to recover a sacred artifact.,1981
50,Casablanca,A club owner chooses between love and duty during war.,1942
51,The Pianist,A musician survives the horrors of wartime occupation.,2002
52,A Beautiful Mind,A brilliant mathematician battles illness and finds purpose.,2001
53,The Revenant,A frontiersman survives the wilderness and seeks revenge.,2015
54,The Irishman,An aging hitman reflects on loyalty and regret.,2019
55,The Martian,An astronaut stranded on Mars fights to return home.,2015
56,Gravity,An astronaut struggles to survive after disaster in orbit.,2013
57,Moonlight,A young man grows through three defining stages of life.,2016
58,Birdman,A former star actor seeks artistic redemption on stage.,2014
59,Spotlight,Journalists investigate a widespread institutional scandal.,2015
60,Argo,A covert team attempts a risky rescue during a crisis.,2012
61,The Imitation Game,A codebreaker leads a mission to crack enemy signals.,2014
62,Jojo Rabbit,A boy in wartime Germany questions his beliefs.,2019
63,Oppenheimer,A physicist leads the creation of a world changing weapon.,2023
64,Dune,A young noble faces destiny on a hostile desert planet.,2021
65,Dune Part Two,Alliances and rebellion reshape the fate of an empire.,2024
66,Edge of Tomorrow,A soldier relives battle until he can change the war.,2014
67,Minority Report,A law officer is accused by the system he serves.,2002
68,Children of Men,A disillusioned man protects hope in a collapsing world.,2006
69,Ex Machina,A programmer tests the boundaries of artificial intelligence.,2014
70,Annihilation,A team enters a mysterious zone of mutation and loss.,2018
71,1917,Two soldiers race to deliver orders across enemy lines.,2019
72,Dunkirk,Allied troops fight to survive evacuation during war.,2017
73,Tenet,An operative uses inverted time to prevent catastrophe.,2020
74,The Batman,A young Batman investigates a string of cryptic murders.,2022
75,Logan,An aging hero protects a child with similar powers.,2017
76,Deadpool,A mercenary with healing powers pursues revenge with humor.,2016
77,Iron Man,A genius engineer builds a suit and becomes a hero.,2008
78,Avengers Endgame,Heroes unite for a final battle to restore the universe.,2019
79,Captain America Civil War,Allies split over accountability and face each other.,2016
80,Black Panther,A new king must defend his nation and his role.,2018
81,Spider-Man Into the Spider-Verse,A teen hero joins variants from parallel worlds.,2018
82,Spider-Man Across the Spider-Verse,Multiple spider heroes clash over destiny and sacrifice.,2023
83,Rogue One,Rebels attempt to steal plans for a superweapon.,2016
84,Star Wars A New Hope,A farm boy joins a rebellion against an empire.,1977
85,Return of the Jedi,The rebellion launches a final assault on the empire.,1983
86,Jurassic Park,Scientists and visitors face chaos in a dinosaur park.,1993
87,The Lost World Jurassic Park,A rescue mission enters a dangerous island ecosystem.,1997
88,Titanic,A romance unfolds aboard a doomed ocean liner.,1997
89,The Notebook,Two lovers reconnect after years apart.,2004
90,Knives Out,A detective investigates a wealthy family after a death.,2019
91,Glass Onion,A detective unravels a murder game on a private island.,2022
92,Gone Girl,A missing person case exposes a troubled marriage.,2014
93,Prisoners,A father takes drastic action after a child disappears.,2013
94,Zodiac,Investigators pursue an elusive serial killer for years.,2007
95,Nightcrawler,A driven freelancer exploits crime scenes for media success.,2014
96,Sicario,An agent joins a covert operation against drug cartels.,2015
97,Hell or High Water,Two brothers rob banks to save their family land.,2016
98,The Big Short,Investors predict and profit from a financial collapse.,2015
99,Moneyball,A baseball manager uses data to build a competitive team.,2011
100,The Hurt Locker,A bomb disposal unit faces relentless pressure in war.,2008
